Bhajan name,Bhajan Link 
Mann Lago Mero Yaar Fakiri Mein,https://www.ibiblio.org/ram/audio/cd_07_02.mp3
Main to Tera Daas Prabhu,https://www.ibiblio.org/ram/audio/cd_07_03.mp3
Mere Dil Ka Swami Prabhu Ek Tu Hai,https://www.ibiblio.org/ram/audio/cd_09_03.mp3
Na Kho Vishwas,https://www.ibiblio.org/ram/audio/bh10b464.mp3
Nainheen Ko Raah Dikha Prabhu,https://www.ibiblio.org/ram/audio/bhj15a1.mp3
Naam Japan Kyon Chchod diya,https://www.ibiblio.org/ram/audio/cd_05_05.mp3
Patte Patte Daali Daali Mera Ram Vasda,https://www.ibiblio.org/ram/audio/bhj04_a1.mp3
Prem Mudit Man Se Kaho,https://www.ibiblio.org/ram/audio/bhj07_b1.mp3
Prabhu Mere Priyatam Pran Piyare,https://www.ibiblio.org/ram/audio/bh0924a3.mp3
Payo Nidhi Ram Naam,https://www.ibiblio.org/ram/audio/bh0924b4.mp3
Preeti Prabhu Se Jod Re Man,https://www.ibiblio.org/ram/audio/bhj13b1.mp3
Prabhu Ji Tum Chandan Hum Paani,https://www.ibiblio.org/ram/audio/bhj13b1.mp3
Prabhu Teri Mahima,https://www.ibiblio.org/ram/audio/cd_07_05.mp3
Phoolon se Tum Hasna Seekho,https://www.ibiblio.org/ram/audio/cd_09_04.mp3
Paya Paya Maine Ram Ratan Dhan Paya,https://www.ibiblio.org/ram/audio/cd_09_09.mp3
Phagun ke Din Chaar,https://www.ibiblio.org/ram/audio/KC_Phagun%20Ke%20Din%20Chaar.mp3
Ram Ab Aisa Var Main Paaun,https://www.ibiblio.org/ram/audio/bhj02_a3.mp3
Ram Bharosa Tera,https://www.ibiblio.org/ram/audio/bharosa.mp3
Ram Naam Lo Laagi,https://www.ibiblio.org/ram/audio/bhj03_a4.mp3
Ram Mujhe Madhur Milan Mile Tera,https://www.ibiblio.org/ram/audio/bhj03_b1.mp3
"Re Man, Maine to Paaye",https://www.ibiblio.org/ram/audio/bhj06_a3.mp3
Ram Naam Ati Meetha Hai,https://www.ibiblio.org/ram/audio/bhj06_b2.mp3
Ram Bharose He Rehkar,https://www.ibiblio.org/ram/audio/bhj06_b3.mp3
Ram Main to Jab se Sharan Teri Aaya,https://www.ibiblio.org/ram/audio/bh0816a2.mp3
Ram-Ram Bol Manva,https://www.ibiblio.org/ram/audio/bh0816a4.mp3
Ram Do Nij Charno mein Sthan,https://www.ibiblio.org/ram/audio/bh0924b2.mp3
Ram Ram Kahe Na Bole,https://www.ibiblio.org/ram/audio/bh0924b3.mp3
Ram Naam Ke Heere Moti,https://www.ibiblio.org/ram/audio/bhj11a4.mp3
Ram Sudha Ras Peene Vaala,https://www.ibiblio.org/ram/audio/bhj11b1.mp3
Ram Ramaiya Gaaye Ja,https://www.ibiblio.org/ram/audio/bhj11b3.mp3
Ramhi Ram Bas Ram Ram,https://www.ibiblio.org/ram/audio/bhj12b4.mp3
Ram Naam Lo Lagi Ab Mohe,https://www.ibiblio.org/ram/audio/bhj13a1.mp3
Ram Ab Sneh Sudha Barsa De,https://www.ibiblio.org/ram/audio/bhj05_a3.mp3
Ram Ras Barsyo Ri Aaj Mhare Aangan Mein,https://www.ibiblio.org/ram/audio/bhj13b4.mp3
Raghuvar Tumko Meri Laaj,https://www.ibiblio.org/ram/audio/cd_05_10.mp3
